instant,dteday,season,month,hour,holiday,a_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,day_category,humidity_category
1,1/1/2011,Spring,January,0,0,Saturday,Clear,9.84,14.395,81,0,3,13,16,Weekend,High
2,1/1/2011,Spring,January,1,0,Saturday,Clear,9.02,13.635,80,0,8,32,40,Weekend,High
3,1/1/2011,Spring,January,2,0,Saturday,Clear,9.02,13.635,80,0,5,27,32,Weekend,High
4,1/1/2011,Spring,January,3,0,Saturday,Clear,9.84,14.395,75,0,3,10,13,Weekend,High
5,1/1/2011,Spring,January,4,0,Saturday,Clear,9.84,14.395,75,0,0,1,1,Weekend,High
6,1/1/2011,Spring,January,5,0,Saturday,Misty,9.84,12.88,75,6.0032,0,1,1,Weekend,High
7,1/1/2011,Spring,January,6,0,Saturday,Clear,9.02,13.635,80,0,2,0,2,Weekend,High
8,1/1/2011,Spring,January,7,0,Saturday,Clear,8.2,12.88,86,0,1,2,3,Weekend,High
9,1/1/2011,Spring,January,8,0,Saturday,Clear,9.84,14.395,75,0,1,7,8,Weekend,High
10,1/1/2011,Spring,January,9,0,Saturday,Clear,13.12,17.425,76,0,8,6,14,Weekend,High
11,1/1/2011,Spring,January,10,0,Saturday,Clear,15.58,19.695,76,16.9979,12,24,36,Weekend,High
12,1/1/2011,Spring,January,11,0,Saturday,Clear,14.76,16.665,81,19.0012,26,30,56,Weekend,High
13,1/1/2011,Spring,January,12,0,Saturday,Clear,17.22,21.21,77,19.0012,29,55,84,Weekend,High
14,1/1/2011,Spring,January,13,0,Saturday,Misty,18.86,22.725,72,19.9995,47,47,94,Weekend,High
15,1/1/2011,Spring,January,14,0,Saturday,Misty,18.86,22.725,72,19.0012,35,71,106,Weekend,High
16,1/1/2011,Spring,January,15,0,Saturday,Misty,18.04,21.97,77,19.9995,40,70,110,Weekend,High
17,1/1/2011,Spring,January,16,0,Saturday,Misty,17.22,21.21,82,19.9995,41,52,93,Weekend,High
18,1/1/2011,Spring,January,17,0,Saturday,Misty,18.04,21.97,82,19.0012,15,52,67,Weekend,High
19,1/1/2011,Spring,January,18,0,Saturday,Light Rainsnow,17.22,21.21,88,16.9979,9,26,35,Weekend,High
20,1/1/2011,Spring,January,19,0,Saturday,Light Rainsnow,17.22,21.21,88,16.9979,6,31,37,Weekend,High
21,1/1/2011,Spring,January,20,0,Saturday,Misty,16.4,20.455,87,16.9979,11,25,36,Weekend,High
22,1/1/2011,Spring,January,21,0,Saturday,Misty,16.4,20.455,87,12.998,3,31,34,Weekend,High
23,1/1/2011,Spring,January,22,0,Saturday,Misty,16.4,20.455,94,15.0013,11,17,28,Weekend,High
24,1/1/2011,Spring,January,23,0,Saturday,Misty,18.86,22.725,88,19.9995,15,24,39,Weekend,High
25,1/2/2011,Spring,January,0,0,Sunday,Misty,18.86,22.725,88,19.9995,4,13,17,Weekend,High
26,1/2/2011,Spring,January,1,0,Sunday,Misty,18.04,21.97,94,16.9979,1,16,17,Weekend,High
27,1/2/2011,Spring,January,2,0,Sunday,Misty,17.22,21.21,100,19.0012,1,8,9,Weekend,High
28,1/2/2011,Spring,January,3,0,Sunday,Misty,18.86,22.725,94,12.998,2,4,6,Weekend,High
29,1/2/2011,Spring,January,4,0,Sunday,Misty,18.86,22.725,94,12.998,2,1,3,Weekend,High
30,1/2/2011,Spring,January,6,0,Sunday,Light Rainsnow,17.22,21.21,77,19.9995,0,2,2,Weekend,High
31,1/2/2011,Spring,January,7,0,Sunday,Misty,16.4,20.455,76,12.998,0,1,1,Weekend,High
32,1/2/2011,Spring,January,8,0,Sunday,Light Rainsnow,16.4,20.455,71,15.0013,0,8,8,Weekend,High
33,1/2/2011,Spring,January,9,0,Sunday,Misty,15.58,19.695,76,15.0013,1,19,20,Weekend,High
34,1/2/2011,Spring,January,10,0,Sunday,Misty,14.76,17.425,81,15.0013,7,46,53,Weekend,High
35,1/2/2011,Spring,January,11,0,Sunday,Misty,14.76,16.665,71,16.9979,16,54,70,Weekend,High
36,1/2/2011,Spring,January,12,0,Sunday,Misty,14.76,16.665,66,19.9995,20,73,93,Weekend,Medium
37,1/2/2011,Spring,January,13,0,Sunday,Misty,14.76,17.425,66,8.9981,11,64,75,Weekend,Medium
38,1/2/2011,Spring,January,14,0,Sunday,Light Rainsnow,14.76,17.425,76,12.998,4,55,59,Weekend,High
39,1/2/2011,Spring,January,15,0,Sunday,Light Rainsnow,13.94,16.665,81,11.0014,19,55,74,Weekend,High
40,1/2/2011,Spring,January,16,0,Sunday,Light Rainsnow,13.94,16.665,71,11.0014,9,67,76,Weekend,High
41,1/2/2011,Spring,January,17,0,Sunday,Clear,13.94,16.665,57,12.998,7,58,65,Weekend,Medium
